level,level_to_play
4151,2931
4152,3207
4153,2948
4154,2844
4155,3210
4156,3586
4157,2067
4158,3191
4159,2379
4160,2070
4161,3496
4162,4132
4163,3476
4164,3084
4165,4135
4166,2898
4167,2142
4168,2856
4169,2979
4170,2145
4171,3523
4172,3362
4173,2213
4174,2154
4175,3365
4176,3736
4177,3127
4178,3613
4179,3109
4180,3130
4181,4106
4182,2822
4183,3053
4184,3664
4185,2825
4186,3321
4187,3032
4188,3288
4189,4089
4190,3035
4191,3606
4192,2382
4193,3861
4194,3124
4195,2385
4196,2836
4197,3697
4198,2721
4199,2899
4200,3700
4201,2766
4202,2372
4203,2593
4204,3424
4205,2375
4206,3183
4207,3537
4208,2431
4209,3879
4210,3540
4211,2243
4212,3987
4213,2503
4214,3024
4215,3990
4216,3113
4217,2907
4218,2731
4219,2359
4220,2910
4221,2796
4222,3797
4223,3301
4224,3804
4225,3800
4226,2103
4227,3447
4228,3223
4229,3229
4230,3450
4231,3538
4232,3742
4233,3361
4234,4144
4235,3745
4236,2756
4237,3402
4238,3691
4239,3139
4240,3405
4241,2176
4242,3037
4243,2111
4244,3504
4245,3040
4246,3951
4247,2537
4248,3326
4249,2649
4250,2540
4251,3848
4252,3482
4253,2968
4254,2104
4255,3485
4256,4076
4257,3357
4258,3543
4259,2169
4260,3360
4261,2506
4262,2322
4263,3938
4264,3924
4265,2325
4266,2486
4267,2522
4268,2513
4269,3129
4270,2525
4271,3248
4272,2592
4273,2598
4274,2374
4275,2595
4276,4078
4277,3442
4278,3826
4279,3479
4280,3445
4281,3981
4282,3192
4283,3863
4284,3654
4285,3195
4286,4041
4287,2482
4288,3023
4289,3019
4290,2485
4291,3236
4292,3902
4293,2321
4294,2404
4295,3905
4296,3943
4297,3492
4298,3046
4299,3399
4300,3495
4301,2678
4302,3852
4303,3351
4304,2524
4305,3855
4306,2913
4307,2387
4308,2888
4309,2729
4310,2390
4311,4086
4312,2457
4313,3656
4314,2114
4315,2460
4316,4001
4317,3397
4318,4081
4319,3329
4320,3400
4321,2526
4322,2817
4323,2196
4324,3894
4325,2820
4326,3663
4327,4127
4328,2241
4329,3209
4330,4130
4331,2868
4332,2137
4333,2046
4334,2764
4335,2140
4336,4021
4337,2497
4338,3391
4339,3429
4340,2500
4341,2246
4342,3912
4343,4026
4344,3694
4345,3915
4346,3911
4347,2282
4348,3638
4349,2499
4350,2285
4351,2871
4352,3522
4353,3003
4354,2604
4355,3525
4356,2051
4357,3202
4358,2183
4359,3179
4360,3205
4361,4103
4362,3122
4363,2983
4364,2924
4365,3125
4366,2408
4367,2652
4368,2668
4369,3159
4370,2655
4371,2281
4372,2042
4373,2936
4374,2964
4375,2045
4376,3403
