Key,Type,Desc,English,Turkish,German,French,Italian,Spanish,Portuguese,Japanese,Korean
limited_offer,Text,,"Limited Offer!","Sınırlı Teklif!","Nur für kurze Zeit!","Offre limitée !","Offerta limitata!","¡Oferta limitada!","Oferta limitada!","限定オファー！","한정 혜택!"
refill_prompt,Text,,"Refill","Doldur","Nachfüllen","Recharger","Ricarica","Rellenar","Recarregar","補充","충전하기"
no_lives_inbox,Text,,"There are no lives in your inbox.","Gelen kutunda can yok.","In deinem Posteingang befinden sich keine Leben.","Vous n'avez pas de vie dans votre boîte de réception.","Non ci sono vite nella tua posta.","No tienes vidas en el buzón.","Sem vidas na caixa de entrada.","受信箱内にライフはありません。","받은 편지함에 생명이 없습니다."
search_placeholder,Text,,"Search...","Ara...","Suchen ...","Recherche...","Cerca...","Buscar...","Buscar...","検索…","검색하기..."
you_will_lose_warning,Text,,"You Will Lose","Kaybedeceksin","Du verlierst","Vous allez perdre","Perderai","Perderás","Você perderá","以下を失います：","다음을 잃게 됩니다"
top_players_label,Text,,"Top Players","En İyi Oyuncular","Top-Spieler","Meilleurs joueurs","Giocatori migliori","Mejores jugadores","Melhores jogadores","トッププレイヤー","최고 플레이어"
level,Text,,"Level","Seviye","Level","Niveau","Livello","Nivel","Nível","レベル","레벨"
unlimited_lives_info,Text,,"You have unlimited lives","Sınırsız canın var","Du hast unbegrenzte Leben","Vous avez des vies illimitées","Hai vite illimitate","Vidas ilimitadas","Você tem vidas ilimitadas","無限のライフをもっています","무제한 생명을 가지고 있습니다"
legal_terms_update_notice,Text,,"Our legal terms are changing on February 28, 2024.","Yasal şartlarımız 28 Şubat 2024'te değişecek.","Unsere rechtlichen Bedingungen ändern sich zum 28. Februar 2024.","Nos conditions légales changent le 28 février 2024.","I nostri termini legali cambieranno il 28 febbraio 2024.","Nuestras condiciones legales cambiarán el 28 de febrero de 2024.","Nossos termos legais serão alterados em 28 de fevereiro de 2024.","弊社の法的条件は、2024年2月28日に改訂されます。","2024년 2월 28일부로 당사의 법적 약관이 변경됩니다."
internet_connection_leaderboard,Text,,"You need an internet connection<br>to see the leaderboard.","Lider tablosunu görmek için<br>internete bağlı olmalısın.","Du brauchst eine Internetverbindung,<br>um die Bestenliste zu sehen.","Une connexion Internet est nécessaire<br>pour voir le classement.","Per vedere la classifica è necessaria<br>una connessione a Internet.","Conéctate a internet<br>para ver la clasificación.","Você precisa de uma conexão com a Internet<br>para ver o ranking.","ランキングを見るには<br>インターネット接続が必要です。","리더보드를 보려면<br>인터넷에 연결되어야 합니다."
new_season_initializing,Text,,"New season is initializing","Yeni sezon başlıyor","Die neue Saison beginnt","La nouvelle saison est en cours de lancement","Sta per iniziare la nuova stagione","Iniciándose nueva temporada","Nova temporada inicializando","新シーズンが近日公開","새 시즌이 시작됩니다"
get_free_coins,Text,,"Get free coins","Ücretsiz altın al","Erhalte Gratismünzen","Obtenir des pièces gratuites","Ottieni monete gratis","Monedas gratis","Ganhe moedas","無料のコインを獲得","무료 코인 받기"
waiting_for_opponents,Text,,"Waiting<br>for opponents...","Rakip<br>bekleniyor...","Warten<br>auf Gegner ...","En attente<br>d'adversaires...","In attesa<br>di avversari...","Esperando<br>a rivales...","Aguardando<br>oponentes...","対戦相手を<br>待機中…","상대를<br>기다리는 중..."
